Título,Precio,Metros_cuadrados,Habitaciones,Barrio,url_detalle
"Piso en Valdeacederas, Madrid",231.000€,48,2 hab.,Piso en Valdeacederas,https://www.idealista.com/inmueble/108396418/
"Piso en Berruguete, Madrid",335.500€,71,3 hab.,Piso en Berruguete,https://www.idealista.com/inmueble/108446186/
"Piso en Ventilla-Almenara, Madrid",264.000€,63,2 hab.,Piso en Ventilla-Almenara,https://www.idealista.com/inmueble/108445794/
"Piso en Valdeacederas, Madrid",264.000€,58,2 hab.,Piso en Valdeacederas,https://www.idealista.com/inmueble/109382656/
"Piso en Calle Cenicientos, Berruguete, Madrid",389.000€,75,3 hab.,Berruguete,https://www.idealista.com/inmueble/109777481/
"Piso en Calle de San Modesto, Tres Olivos - Valverde, Madrid",290.000€,72,3 hab.,Tres Olivos - Valverde,https://www.idealista.com/inmueble/109660528/
"Piso en Calle de Rosa de Silva, Cuzco-Castillejos, Madrid",245.000€,45,2 hab.,Cuzco-Castillejos,https://www.idealista.com/inmueble/108743108/
"Dúplex en Calle de Cuevas, 25, Valdeacederas, Madrid",380.000€,64,3 hab.,Valdeacederas,https://www.idealista.com/inmueble/109785036/
"Piso en Calle Isidro Fernández, 2, Tres Olivos - Valverde, Madrid",315.000€,72,3 hab.,Tres Olivos - Valverde,https://www.idealista.com/inmueble/108125301/
"Piso en Calle de Cuevas, Valdeacederas, Madrid",225.000€,41,2 hab.,Valdeacederas,https://www.idealista.com/inmueble/109722760/
"Piso en CL Aligustre, Valdeacederas, Madrid",399.000€,90,4 hab.,Valdeacederas,https://www.idealista.com/inmueble/109770611/
"Piso en Tres Olivos - Valverde, Madrid",255.000€,70,3 hab.,Piso en Tres Olivos - Valverde,https://www.idealista.com/inmueble/109761134/
"Dúplex en Valdeacederas, Madrid",205.000€,45,2 hab.,Dúplex en Valdeacederas,https://www.idealista.com/inmueble/109068131/
"Dúplex en Calle de Manuel Tovar, 21, Tres Olivos - Valverde, Madrid",330.000€,65,2 hab.,Tres Olivos - Valverde,https://www.idealista.com/inmueble/109296007/
"Piso en Calle de la Ladera, Valdeacederas, Madrid",340.000€,73,3 hab.,Valdeacederas,https://www.idealista.com/inmueble/109689787/
"Piso en Valdeacederas, Madrid",273.500€,51,2 hab.,Piso en Valdeacederas,https://www.idealista.com/inmueble/109732403/
"Piso en Valdeacederas, Madrid",362.000€,72,3 hab.,Piso en Valdeacederas,https://www.idealista.com/inmueble/108545875/
